,#Tweets,BillGates,timoreilly,Pogue,ericschmidt,waltmossberg,codinghorror,martinfowler,shanselman,spolsky,KentBeck,jack,masason,biz,notch,elonmusk,ev,TEDchris,Padmasree,kevinrose,dickc,noaheverett,Ghonim,om,kaifulee,jeb_,tim_cook,karaswisher,marissamayer,MichaelDell,majornelson,kenichiromogi,alaa,onambiguity,Chad_Hurley,leolaporte,anildash,pierre,SethBling,Dinnerbone,mikeyk,mattcutts,satyanadella,saurik,stevewoz,johnmaeda,chadfowler,john,ginatrapani,jbernhardsson,zeldman,pod2g,evad3rs,finkd,bgurley,pmarca,tnatsu,DuvalMagic,rsarver,reidhoffman,Fwiz,durov,DavidVonderhaar,Gronkh,MichaelCondrey,sivers,therealcliffyb,jkottke,digiphile,jkalucki,paulg,HIDEO_KOJIMA_EN,iH8sn0w,ID_AA_Carmack,nzkoz,myspacetom,abdur,carlmanneh,bs,todsacerdoti,timberners_lee,mollstam,_tomcc,Kappische,vpieters,jeresig,JahKob,p0sixninja,danfrisk,bhorowitz,noobde,minliangtan,cdixon,Benioff,IGLevine,paul_irish,srlm,robhoward,pschiller,tconrad,jonkagstrom,preillyme,demandrichard,shoemoney,levie,dongatory,_grum,mezzoblue,a,dhh,JD_2020,rkmt,e_kaspersky,joebelfiore,i0n1c,KrisJelbring,chriscoyier,sundarpichai,xlson,jemimakiss,RiotPendragon,lukew,carnalizer,drewhouston,ZacheryNielson,paulsingh,austinnotduncan,scottgu,chpwn,RamyRaoof,jimmy_wales,JonCrawford,zephoria,rocket2guns,LoaiNagati,ZeinabSamir,Joi,pmolyneux,l2k,sorenmacbeth,mkapor,sarahcuda,anamitra,addyosmani,akirareiko,wol_lay,skonnard,jsa,AquaXetine,f,Swiftor,DaveSumter,RanaASaid,AkihiroHino,habibh,ChrisMetzen,gr33ndata,simplebits,andrewchen,EdmundMcMillenn,stanleytang,meyerweb,BomuBoi,ryan,Harada_TEKKEN,marcoarment,tha_rami,sama,willsmith,reckless,br,travisk,larryellison,harrymccracken,EvilSeph,ibogost,jeff,fart,photomatt,dens,Arubin,j_smedley,SamFURUKAWA,PG_kamiya,scottebales,aaronwall,chrismessina,tinyBuild,Jonathan_Blow,kevin,Goldman44,stephenlrose,pgeuder,JeremyCMorgan,Pentadact,t,Werner,tanakaryusaku,beep,chrisremo,petecashmore
BillGates,1708,29,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
timoreilly,34200,2,198,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pogue,7086,0,0,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ericschmidt,318,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
waltmossberg,9907,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
codinghorror,43800,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
martinfowler,5181,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shanselman,128000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spolsky,6277,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KentBeck,8821,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
