2983295300	nihilist_arbys	Nihilist Arby's	69055
92279294	pharoproject	The Pharo Project	1177
41660516	twistedsq	Neil Brown	876
116568685	sadserver	Sad Server 	26966
1383966032	HoldMyBeerGif	Hold My Beer GIFs	356571
35097545	shelbyfero	shelby fero	115636
16005455	arlobelshee	Arlo Belshee	2014
69938206	jgoldfein	Jocelyn Goldfein	798
15685575	jezhumble	Jez Humble	15180
102812444	stripe	Stripe	39433
4939401	patrickc	Patrick Collison	25597
559313958	THERETARDEDM0M	Retarded Mom	86058
16303106	StephenAtHome	Stephen Colbert	7865691
29212229	extremetuesday	XtC London	1260
1263967268	HackerNewsOnion	Hacker News Onion	32539
1000262514	SeinfeldToday	Modern Seinfeld	847067
14211984	tlberglund	Tim Berglund	4508
5943622	pmarca	Marc Andreessen	323408
138372303	FIFAWorldCup	FIFAWorldCup	3473612
331821111	geoffreyamoore	Geoffrey Moore	7453
11458102	coreyhaines	LITERALLY COREYHA...	13321
200176600	todd_park	Todd Park	26351
22637001	ken_orr	Ken Orr	64
18950185	billhicksdotcom	billhicksdotcom	8626
207964582	WareNinja	Yilmaz Guleryuz	362
159894847	OnionSports	Onion Sports Network	203950
14521411	floydophone	Pete Hunt	8182
79768438	ivanrmoore	ivan moore	464
14498183	jonwhopkins	Jon Hopkins	98
29403379	ereinerts	Erik Reinertsen	1434
2167073552	somejerrystahl	jerry stahl	14701
14628831	refactoringdr	Don Roberts	181
6245282	treveryarrish	Trever Yarrish	287
571202103	Medium	Medium	1226300
211223932	stathat	Stat Hat	725
1022008639	nitsanw	Nitsan Wakart	776
1666038950	BoredElonMusk	Bored Elon Musk	88411
18808263	shs96c	Simon Stewart	4139
153685346	kevingchristy	Kevin Christy	19323
572225652	SciencePorn	SciencePorn 	1582323
18194778	PragmaticAndy	Andy Hunt	11707
52593	avdi	Avdi Grimm	14316
1132994426	BiIIMurray	Bill Murray	517294
224437276	historyweird	Weird History	107439
543931480	1812_Real_Time	War of 1812 RealTime	1386
46957751	nathanmarz	Nathan Marz	13371
6897142	bos31337	Bryan O'Sullivan	6548
14143419	AdamCuppy	Adam + Cuppy	1012
1160455974	DaveUngar225	Dave Ungar	55
21718006	marcmaron	marc maron	506016
54291389	omegataupodcast	omega tau podcast	1145
2319611	shaver	Mike Shaver	4926
14118631	sf105	Steve Freeman	3483
152862026	EdwardTufte	Edward Tufte	51912
261021894	bitops	Sebastian Wittenkamp	73
16210715	darachennis	darachennis	1835
356943684	edw519	Ed Weissman	2080
226976689	marcprecipice	Marc Hedlund	4526
110219010	go4agile	Agile Utilities	2010
35954885	joshsusser	Josh Susser	5829
740109097	SarcasticRover	SarcasticRover	130542
15473958	MarsCuriosity	Curiosity Rover	1897169
532608688	puniverseco	Parallel Universe	418
68639853	fb_engineering	Facebook Engineering	221104
2425151	facebook	Facebook	13909232
17512258	aslamkhn	Aslam Khan	1133
594671351	BroadcastLinc	Lincoln Andres-Beck	36
9560232	energizr	Simon Baker	1146
19432601	daningalls	Dan Ingalls	850
23732422	BartHanson	Bart Hanson	9060
15439395	stephenfry	Stephen Fry	9832848
352947624	GSElevator	GS Elevator Gossip	706249
159946057	awbjs	Allen Wirfs-Brock	3000
15692087	mitsmr	MITSloan Mgmt Review	55110
13919072	robinsloan	Robin Sloan	320455
188768528	FAKEGRIMLOCK	FAKEGRIMLOCK	14239
364488011	RealTimeWWII	WW2 Tweets from 1943	324875
84249568	AmazonKindle	Kindle	299304
14375110	fogus	fogus	10586
60308942	claychristensen	Clayton Christensen	114411
351491891	The_Dolphin_Pub	The Dolphin	25581
110505844	ivan_bezdomny	Nikolai Yakovenko	1130
15782514	pbpk	Philippe Kruchten	2112
792690	hoverbird	Patrick Ewing	51593
268974242	stevevinoski	Steve Vinoski	3323
3566151	danmil	Dan Milstein	1327
18267528	backupmytweets	BackupMyTweets.com	31846
63147879	yrnameer	Michael Rubens	376
43748484	ploeh	Mark Seemann	5876
51668415	jimhighsmith	Jim Highsmith	8396
29848178	sberczuk	Steve Berczuk	481
21405003	henningwolf	Henning Wolf	1052
170060342	GoFreemium	GoFreemium	635
16910784	jasonfbenton	Jason Benton	691
11057062	divoxx	Rodrigo Kochenburger	811
154278972	ShitMyDevOpSays	Dev Ops 4 Life	1137
12733362	neal4d	Neal Ford	9629
77216450	iterex	Tim Mackinnon	304
12425682	agilesensei	Claudio Perrone	3476
17412589	martinlippert	Martin Lippert	1383
30052719	itagile	it-agile	1865
14980953	mhsutton	Mike Sutton	2832
183749519	paulg	Paul Graham	247079
14253068	mfeathers	Michael Feathers	18934
16716943	seradio	Software Eng. Radio	1463
78975709	natpryce	Nat Pryce	3906
143883	sogrady	steve o'grady	6915
6151482	lobrien	Larry O'Brien	1051
170064729	johnsnolan	John S Nolan	374
17947950	johanneslink	Johannes Link	693
18058024	brantcooper	Brant Cooper	13840
35457371	EliLopian	Eli Lopian	140
145753059	TakeItFromUsPR	TIFU PublicRelations	125482
37023479	olibye	Oliver Bye	93
61052954	lincoln1989	Shminx 	45
2529971	cdixon	Chris Dixon	176939
10650562	chanezon	chanezon	6516
113963	Werner	Werner Vogels	69602
14109167	flowingdata	Nathan Yau	47188
14949803	lpillow	Luke Pillow	399
83287912	pansyluber	Joelle Andres-Beck	16
14678973	matthewmccull	Matthew J McCullough	5857
922821	timanglade	Tim Anglade	1676
14679848	olvemaudal	olvemaudal	1218
21409266	jfitzell	Julian Fitzell	299
10257182	heroku	Heroku	69467
22747624	sgblank	steve blank	135520
46373173	shizowell	Steve Howell 	86
7823462	simeons	Simeon Simeonov	10460
14206869	hamman	hamman	2613
41628296	JerryWeinberg	Gerald Weinberg	8008
16037134	rebeccawb	Rebecca Wirfs-Brock	1830
76452271	DReinertsen	Donald Reinertsen	4150
22289298	onierstrasz	Oscar Nierstrasz	1034
47378354	KevlinHenney	Kevlin Henney	7031
75315883	logosity	Bill Caputo	590
14167857	constantine_jn	 	670
24418275	guspower	Gus Power	929
6710772	PierG	Piergiorgio Grossi	2849
18498684	wefollow	Wefollow	715640
27907104	jeffmckenna	Jeff McKenna	804
20214101	cloverallover	Clover Developers	175
61135090	joshbloch	Joshua Bloch	32873
9534982	agorist	agorist	925
1495501	jarober	James A. Robertson	844
5838092	IanSkerrett	Ian Skerrett	4937
61233	monkchips	Executive Assistant	19855
18159539	sfermigier	Dr Stefane Fermigier	1938
2384071	timoreilly	Tim O'Reilly	1927591
38630800	hermanlintvelt	Herman Lintvelt	489
6594162	wingedpig	Mark Fletcher	1206
16465246	AndyPalmer	Andy Palmer	659
23462469	agilecoach	Rob Myers	4000
18310208	surya_s	Surya Suravarapu	708
16329982	ramon_leon	Ramon Leon	288
16522523	jwgrenning	James Grenning	3329
27081406	HarvardResearch	Harvard Research	123689
14274132	JPBarlow	John Perry Barlow	51257
9626112	bethcodes	Beth	543
27091470	imtomgilb	Tom Gilb	3262
42964533	maples_invest	Maples Investments	2134
7579442	dastels	Dave Astels	2250
809685	garybernhardt	Gary Bernhardt	18769
15596635	bob_koss	Bob Koss	848
7632622	alexch	Alex Chaffee	1089
15844087	pgoodwin	Phil Goodwin	133
15425141	cdegroot	Case de Groot	379
18202703	RallyOn	Ryan Martens	3937
26129077	jackie_greene	Jackie Greene	16255
14246143	rbates	Ryan Bates	32400
14278978	ericries	Eric Ries	220976
14968159	jamesnewkirk	jamesnewkirk	1245
7617702	mjasay	Matt Asay	15385
34969508	markusvoelter	Markus Voelter	2685
6453512	yoast	Yoast	92707
822278	reevesy	Gareth Reeves	215
2937071	judell	Jon Udell	5307
16681542	richardquest	Richard Quest	220967
20764766	pauldyson	Paul Dyson	393
18446025	Varvello	Davide Varvello	193
30358977	smalltalkjvm	smalltalk jvm	182
12526082	dnene	Dhananjay Nene	2555
14710377	ralphtq	Ralph	1009
23986022	lowelllindstrom	Lowell Lindstrom	751
5405012	pragpub	Michael Swaine	3094
7665302	olabini	Ola Bini	7794
15784290	jtdavies	John T Davies	1119
23715192	pmagile	Rob Thomsett	212
17056043	donbox	Don Box	5868
12522262	platypusguy	Andrew Binstock	2884
17997789	danariely	Dan Ariely	92700
22761768	jonasbehmer	Jonas Behmer	22
6141832	cshirky	Clay Shirky	349375
21046030	jamesshore	James Shore	7460
22501655	jam711	James Mercurio	21
14457811	ZUrlocker	Zack Urlocker	2271
1960941	TimothyFitz	Timothy Fitz	2153
16712333	AntonyMarcano	AntonyMarcano	1740
16902383	jfavaro	jfavaro	53
21558859	keithb_b	Keith Braithwaite	947
21498445	martypdx	Marty Nelson	174
18837543	philoUK	Phil Bennett	111
21382169	cjunekim	June Kim	3344
21376969	rhydiant	Rhydian Thomas	17
16665197	martinfowler	Martin Fowler	135630
1392281	adrianholovaty	Adrian Holovaty	14182
13192	avibryant	Avi Bryant	9471
9720292	hashtags	hashtags	319830
13521812	jimwebber	Jim Webber	5195
21037665	gullisprettur	Gulaugur Egilsson	114
15778670	bigballofmud	Brian Foote	1989
20323796	cirillof	Francesco Cirillo	3356
6968622	gpjt	Giles Thomas	1212
20143632	finsterwalder	Malte Finsterwalder	97
3468841	suss	suss	216
749163	wwake	Bill Wake	1090
9583062	edwardhieatt	Edward Hieatt	661
14717652	joconor	Jay O'Conor	442
15041926	thinkingbox	Piergiuliano Bossi	320
5728662	SteveAndrews	Steve Andrews	2166
15001085	ChrisSims	Chris Sims	1454
19378816	MageeInk	Dail Magee Jr	48
775464	tooky	Steve Tooke	814
14059006	starrydynamo2	Brett Dubroy	34
6002822	atveit	Amund Tveit	1763
10718	topfunky	Geoffrey Grosenbach	11777
4216361	dalmaer	Dion Almaer	20990
1235521	timbray	Tim Bray	32743
7550072	eghm	eghm	51
14260608	dharmesh	Dharmesh Shah	261540
9313742	markdevisser	markdevisser	455
7434882	RickDeNatale	Rick DeNatale	464
17194296	onambiguity	Ming / Ng	675049
15378596	weinand	Andre Weinand	133
5315782	elharo	Elliotte Harold	766
18354372	Steve_Hayes	Steve_Hayes	997
17467170	ErichGamma	ErichGamma	5836
14685475	wallingf	wallingf	1017
7833002	dsaff	David Saff	464
14982149	williampietri	William Pietri	1577
14561327	dhh	DHH	138630
9040122	dhemery	Dale Emery	1552
790205	chadfowler	Chad Fowler	406865
6186692	pragdave	Dave Thomas	21534
12381352	WardCunningham	Ward Cunningham	34593
14554494	jbrains	 J. B. Rainsberger	7389
8864512	marick	Brian Marick	7245
