92235264	ERENUSYONDER	ERENUS YONDER	354
14270545	schreier	bryan schreier	2732
3030922321	DJ44	DJ Patil	3233
233730364	tariq	tariq	46
394088764	VCdelta_raw	Neubot	120
19088024	Friscotheque	Helene Labriet-Gross	21
116988614	foundersatwork	Jessica Livingston	15258
14654777	StrictlyVC	StrictlyVC	25881
18814998	fhollande	Franois Hollande	991367
14999020	termsheet	Jeff Kearl	431
932945646	PAUtilities	Palo Alto Utilities	999
14839109	dpatil	dj patil	26946
110171914	CBinsights	CB Insights	9641
382685028	SRuhle	Stephanie Ruhle	26078
3382	hnshah	Hiten Shah	182896
13294	auren	Auren Hoffman	32617
17801384	clarashih	Clara Shih	16944
6894212	WendySLea	Wendy Lea	8713
11846242	ethanbeard	ethanbeard	1219
2499061	Bandrew	Andy McLoughlin	7088
7982802	eldon	Eric Rosser Eldon	20245
577490455	HeidiRoizen	Heidi Roizen	5143
14180491	EllenLevy	Ellen Levy	3533
2064821	trae	Trae Vassallo	1217
2593831	tglocer	tom glocer	3224
144636479	PaloAltoPolice	Palo Alto Police	11284
908457450	lsellier	Laurent Sellier	768
2359926157	CIA	CIA	794679
116063765	axellelemaire	Axelle Lemaire	69674
1605	sama	Sam Altman	81928
29483707	maynard	Maynard Webb	3362
324	chrisfralic	Chris Fralic	9118
12546722	rfradin	Russell Fradin	4439
17377690	chrisarsenault	Chris Arsenault	9071
297585643	JadeTYC	Jade Clavier	35
7386292	fdestin	Fred Destin	23664
17727245	dsamuel	David Samuel	6071
1970	bonforte	Jeff Bonforte	9818
14248451	Joshmedia	Josh Felser	19326
291	goldman	Jason Goldman	1193019
770729	lizgannes	Liz Gannes	72006
24328692	danielgraf	Daniel Graf	10487
9184682	bubbam	Bubba Murarka	3619
11768582	garrytan	Garry Tan	28981
13479	photomatt	Matt Mullenweg	78907
3526	alexanderljung	Alexander Ljung	20619
5558552	lazerow	michael lazerow	26226
688483	jonsteinberg	Jon Steinberg	18118
652193	mgsiegler	M.G. Siegler	161633
1237411	davidmarcus	David Marcus	18620
46063	hunterwalk	Hunter Walk	90620
3101571	timechange	tim chang	5562
106878438	ErikSchatzker	Erik Schatzker	21134
2178012643	balajis	Balaji S. Srinivasan	24999
1333467482	coindesk	CoinDesk	64129
7286402	newmike	Mike Ghaffary	1487
254136706	CoryTV	Cory Johnson	24396
2565	nabeel	Nabeel Hyatt	11391
11441582	mkjung	Mike Jung	1647
44196397	elonmusk	Elon Musk	2176967
5943622	pmarca	Marc Andreessen	328893
18327902	alexia	Alexia Tsotsis	157728
2244340904	Recode	Re/code	167376
306673171	ssoumier	Stephane Soumier	36273
1137701	DavidSacks	David Sacks	39899
135369326	HansSwildens	Hans Swildens	469
396045469	barrysilbert	Barry Silbert	14152
2787551	CathyBrooks	Cathy Brooks	9046
353789193	StartupLJackson	Startup L. Jackson	44693
3291691	chamath	Chamath Palihapitiya	28065
11347122	GavinNewsom	Gavin Newsom	1221642
1002193814	LP2LP2VC	Trey Hart	552
15076390	Padmasree	Padmasree	1607659
1160294598	iamimmigration	#I Am Immigration	5136
5920532	Delta	Delta	976639
149689194	iRowan	David Rowan	24408
9815252	btrenchard	Bill Trenchard	1967
1159251	shervin	Shervin Pishevar	64108
15922433	scottharrison	Scott Harrison	75096
137460929	DeltaAssist	Delta Assist	189661
28603331	WTSO	WinesTilSoldOut.com	32157
57016932	Porsche	Porsche	1007847
817209	davidcohen	David Cohen	112089
20787272	bgrey	Brian Grey	1240
35822342	ClosDeLaTech	Clos de la Tech Wine	664
20219117	rosslevinsohn	rosslevinsohn	5330
106062176	airfrance	Air France 	155831
14196449	jackabraham	Jack Abraham	7348
914061	levie	Aaron Levie	150105
1257541	deblanda	Debbie Landa	4246
428549829	NicoPrincen	Nicolas Princen	4853
15227849	semil	Semil	30089
419710142	PandoDaily	Pando	79206
16581604	MikeBloomberg	Mike Bloomberg	726077
18206161	tristanwalker	tristan walker	287062
14128641	scoutu	Sherry Coutu	14470
32810769	alphaclub	Alpha	230
378223565	sparker	Sean Parker	420626
20565064	stephpalmeri	Steph Palmeri	6122
6656232	abatchelor	Amy Batchelor	2239
31276579	nvca	NVCA 	9706
808627	StevenLevy	Steven Levy	90694
24417557	allenmorgan	Allen Morgan	2573
28582680	bgarlinghouse	Brad Garlinghouse	5852
25959629	fabricegrinda	Fabrice Grinda	8166
304909941	Lagarde	Christine Lagarde	276105
112441291	DeirdreBolton	Deirdre Bolton	21590
17240190	daniel_kraft	Daniel Kraft, MD	24968
234259655	AxelClavier	Axel Clavier	100
6160742	bryce	Bryce Roberts	35196
168857946	500Startups	500 Startups	330967
26784273	charitywater	charity: water	1477136
74130577	emilychangtv	Emily Chang	60504
745273	naval	Naval Ravikant	116208
17220934	algore	Al Gore	2775616
32718488	wadhwa	Vivek Wadhwa	53629
380	kevin	Kevin S.	73353
19094625	RMB	Rob Bailey	11512
22887743	mcgd	Michael Dearing	6070
30899115	AirFranceUS	Air France US	60028
898371	andrewmason	Andrew Mason	36656
1488	karl	Karl Jacob	3268
17503180	marissamayer	marissamayer	1010536
14586694	omarh	Omar Hamoui	3486
