106234268	matthew_d_green	Matthew Green	25648
14880424	mjepson	Magnus Jepson	4450
14153283	mark_forrester	Mark Forrester	5770
69426451	CaseyNewton	Casey Newton	20316
1536791610	POTUS	President Obama	2566959
16386970	miamabanta	Mia Mabanta	2491
1605	sama	Sam Altman	81928
26915072	EricaTheRose	Erica Helaine Rose	34556
31348356	MarcusHyde	Marcus Hyde	6246
287713	crystale	Crystal English	9072
14367669	kimmaicutler	Kim-Mai Cutler	17052
76611461	JShoee	Jackie Xu	7494
14321959	umairh	umair	233511
66590132	foundmyfitness	Dr. Rhonda Patrick	25262
2982461011	further_future	Further Future	465
14096280	april_conyers	April Conyers	2030
79015105	mbutterick	Matthew Butterick	5008
19040598	MikeIsaac	_	38395
14215609	KathrynFinney	Kathryn Finney	14578
700486952	sara_sperling	Sara Sperling	347
2911221	wilshipley	Wil Shipley	20895
89359135	fawceisfawce	fawce	908
14323985	mulligan	Brenden Mulligan	114252
43774013	duffynyc	Duff Lambros	930
17611064	libovness	Jonathan Libov	2039
17163609	mrogati	Monica Rogati	13416
363389133	GreenLgtHealing	Ashley Williams	491
181344408	endtwist	Joshua Gross	2620
9729502	travisk	travis kalanick	80751
14303261	ryangraves	Ryan Graves	15738
235615273	youngblackparty	bLAck pARty	2189
284643153	halliecantor	Hallie Cantor	3267
249500045	jonmckay	Jon McKay	669
14209664	rezendi	Jon Evans	5301
1090141	backlon	Dieter Bohn	31982
133818287	winniekao	Winnie Kao	1985
17056745	bcanon	bcanon	221
19486963	NipseyHussle	NIP HUSSLE THE GREAT	577135
439628511	magicgiant	Magic Giant	2408
2853461537	ScottAdamsSays	Scott Adams	5658
16477634	durov	Pavel Durov	824088
1689053928	telegram	Telegram Messenger	114318
11855482	brad_frost	Brad Frost	57053
1196328007	china	CHINA	9032
2436389418	SwiftOnSecurity	InfoSec	74381
453941341	bsdphk	Poul-Henning Kamp	5176
13889622	lukew	Luke Wroblewski	125311
614041556	BethMartinDsign	Elizabeth Martin	151
14128956	tigerose	Rose Kuo	172
9011772	aprilzero	Anand Sharma	6923
15381688	flyinglotus	FLYLO 	365071
2155570843	DopplerLabs	Doppler Labs	171
49736166	peterthiel	Peter Thiel	94752
754500	cue	Eddy Cue	60478
1401747758	LinearFlux	LinearFlux	151
194318368	TweetGeorgiaBrn	Georgia B McBride	352
1965161341	Wristify	Wristify	436
2611946707	embrlabs	embr labs	460
9946842	amac	Alex Macgillivray	33758
37605443	smithmegan	Megan Smith	13708
3764301	RyanHoliday	Ryan Holiday	38223
2480079168	SavedYouAClick	Saved You A Click	192912
24421464	nitashatiku	Nitasha Tiku	43537
55525953	Pinboard	Pinboard	24596
26390322	stevenvDC	Steven VanRoekel	10618
171163790	ubnt	Ubiquiti Networks	10437
603098503	RobertPera	Robert J Pera	18130
17860906	KeithRParsons	Keith R. Parsons	4562
29752531	Krogsgard	Brian Krogsgard	6735
4234581	joestump	Joe Stump	15276
3300	schwa	Jonathan Wight	6507
798408	dlpasco	Daniel Pasco	5838
10778572	delong	J. Bradford DeLong	37220
10751252	TripIt	TripIt	30933
24443821	pre_me	Andy Grignon	1462
1702147292	hotelwifitest	Hotel WiFi Test	703
2724741	hugocornejo	Hugo Cornejo	241
6095	briansacca	Brian Sacca	2356
997	tedr	Ted Rheingold	9848
18751963	megangarber	Megan Garber	12111
447031577	jansenniklas	niklas jansen	699
706858639	hlgrsm	Holger Seim	289
794535782	blinkist	Blinkist	17530
8131122	cyanogen	cyanogen	140145
2259241	mitchlasky	Mitch Lasky	4655
1427134189	cyanogenone	Kirt McMaster	1350
1878084872	cyngn	Cyanogen	90850
77034099	CyanogenMod	CyanogenMod	292449
