504468362	Franc1sc0H3rcul	FranciscoHerculano	169
165475988	iBitGirl	 iBitGirl 	4954
457004684	lecapouest	Lionel B	5
139362186	iblametom	Thomas Fox-Brewster	5570
36903534	iSECPartners	iSEC Partners, Inc.	1539
223342782	nabla_c0d3	Alban Diquet	139
1638137305	TSSstatus	TSS Signing Status	3096
16365707	i0n1c	Stefan Esser	136053
407611500	ChengBinTham	ChengBin Tham	47
169079327	commial	Ajax	175
106234268	matthew_d_green	Matthew Green	25478
149113909	Promovac	Promovacances	702
2569029948	PanguTeam	PanguTeam	78766
49344236	DaKnObCS	DaKnOb	579
56624663	jordangetzmusic	Jordan Getz	2667
21594987	daftalive	Thomas Bangalter	4043
382316209	iCarbonsBruce	iCarbons Bruce	1145
294122556	iCarbonsRosa	iCarbons Rosa	856
559794870	vishavdubb	Vishav  Dubb	868
1692384654	wilsonk0ng	Wilson	328
16595068	kylematthews	Kyle Matthews	3274
330748199	UltimateiDevice	UltimateiDeviceVids	322
113176803	SimplisticNinja	Leon Martin	176
21011871	lasermike026	lasermike026	25
1584157525	s33wack	Justin Wack	747
40338636	ericmonti	Eric Monti	539
189628916	FilippoBiga	Filippo Bigarella	20647
21543254	DJQbert	DJ Qbert  ThudRumble	70209
31360601	DJMannyD	Manuel Duarte	826
94703509	phyrrus9	Ethan Laur	781
63061298	CanalesManny	Manny A. Canales	350
458002188	ClevrPwn	J3RR?	716
533539874	__apf__	Adrienne Porter Felt	7178
677833	emerose	Sam Quigley	1055
16513379	skosh_stephanie	Stephanie Mardell	732
1613887850	justine_osborne	Justine Osborne	118
98618391	NicoThieb	Nicolas Thibaud	394
974525635	HotelZetta	Hotel Zetta	1597
18377825	diogomonica	Diogo Mnica	1746
1583	nathan	Nathan Spindel	2413
209811713	TheHackersNews	The Hacker News	204855
73147282	HuffPostTech	HuffPost Tech	342448
60642052	VentureBeat	VentureBeat	500143
9688342	cultofmac	Cult of Mac	729719
27058194	nathanmccauley	Nathan McCauley	551
119322414	superevr	Superevr	1517
6083342	bascule	Tony Arcieri	6443
180204844	iCarbonsdotcom	iCarbons.com	10512
23605357	iJ0rd8n	Jordan	3876
49573859	iamwill	will.i.am	13199040
76980293	moxie	Moxie Marlinspike	36202
15629022	newsoft	newsoft	2529
53132427	_coreDump	Chilik Tamir 	547
18934277	41414141	FX of Phenoelit	15739
384403050	quarkslab	quarkslab	1914
235314740	ch0k0bn	ch0k0bn	156
930314354	davounet	David Carle	25
330386527	elvanderb	Eloi Vanderbeken	1844
410130804	deesse_k	deesse_k	509
2306295163	adriengnt	Adrien Guinet	267
1118318160	krevony	Kyle Revony	1335
163513930	cryptopathe	Pascal Junod	1463
2208998312	ollvm	Obfuscator-LLVM	730
713000189	Loulounut	Loulou	185
575501553	James_92_P	James	31
19312115	panzer	Matthew Panzarino	21414
64145299	gyianz	Pang Zi Yang	160
