3015271772	TwitterFood	Twitter Food	17680
27558636	kellyshalk	Kelly Shalk	7742
1270746139	MagicRecs	Magic Recs	95069
1526228120	TwitterData	Twitter Data	167141
178111058	TwitterFashion	Twitter Fashion	1479409
436266454	TwitterMovies	Twitter Movies	2933096
2244994945	TwitterDev	TwitterDev	118276
1884191208	twitterforgood	Twitter for Good	17849
586198217	twittertv	Twitter TV	2822555
218984871	policy	Policy	59192
204343158	rosenblattdavid	David Rosenblatt	4078
1974945445	marjscar	Marjorie M Scardino	8319
169321761	PeterChernin	Peter Chernin	8553
100534402	plscurrie	Peter Currie	4666
5251831	peterfenton	Peter Fenton	31745
227198747	luca1it	Luca Baratta	3411
2281856156	SkipSchipper	Brian Schipper	2623
29018269	vijaya	Vijaya Gadde	17857
24328692	danielgraf	Daniel Graf	10346
93954161	aroetter	Alex Roetter	12709
2244340904	Recode	Re/code	163605
1603818258	TwitterIR	TwitterIR	22336
35739495	anthonynoto	Anthony Noto	18086
87532773	design	Twitter Design	1575344
2549012761	Flight	Twitter Flight	8956
263884490	TwitterBrasil	Twitter Brasil	1545588
437698597	womeng	Twitter WomEng	32077
133824534	twittersearch	Twitter Search	2053592
376825877	TwitterOSS	Twitter Open Source	211370
1511263122	TwitterMirror	Twitter Mirror	48376
1017994807	topspot	Top Spot	13897
1077914569	TwitterAdsUK	Twitter Ads UK	188740
586671909	vine	Vine	14149399
14885549	ForbesTech	Forbes Tech News	2034344
717313	arstechnica	Ars Technica	945064
573918122	qz	Quartz	146350
73190286	TheWire	The Wire	108526
129939890	MarketplaceTech	Mktplace Tech	13607
40974333	npralltech	All Tech Considered	26989
1378711	gigaommobile	GigaOM Mobile	11707
2893971	gigaom	Gigaom	300824
28172926	WSJD	WSJD	247062
30261067	CNET	CNET	979652
15208246	WIREDBusiness	WIRED Business	816082
178010364	BW_Tech	Businessweek Tech	6464
21272440	technology	Bloomberg Tech 	66054
17455910	GlobeTechnology	Globe Technology	131876
15955754	latimestech	LA Times Tech Now	49719
14660564	brainstormtech	Fortune Tech	12944
2735591	FastCompany	Fast Company	1796763
2890961	Gizmodo	Gizmodo	1396009
158007643	MorningTech	POLITICO MorningTech	11287
10977192	fttechnews	FT Technology News	120137
529817556	twoffice	Twoffice	43548
14372486	engadget	Engadget	1353903
593893034	TwitterDC	Twitter DC	11886
212364827	twitterchicago	Twitter Chicago	25719
495309159	TwitterNYC	Twitter NYC	45191
1344951	WIRED	WIRED	4575473
7905122	guardiantech	Guardian Tech	2415339
275686563	verge	The Verge	889760
10876852	TheNextWeb	The Next Web	1537687
4641021	RWW	ReadWrite	1624838
816653	TechCrunch	TechCrunch	5139038
14434070	nytimesbits	NYTimes Bits	249441
216531294	TwitterKR	 	880063
818212956	TwitterAU	Twitter Australia	172121
632708673	TwitterAdsJP	Twitter Ads Japan	180041
948635953	mgupta	Mike Gupta	16513
373471064	TwitterMusic	Twitter Music	7614432
14803701	TweetDeck	TweetDeck	2546903
216566780	international	Twitter Int'l	2301417
121291606	TwitterSmallBiz	Twitter Small Biz	322703
357750891	TwitterAds	Twitter Advertising	550685
564799867	teamtwitter	Team Twitter	33731
27070413	gabrielstricker	Gabriel Stricker	29771
234489024	twittercomms	Twitter Comms	249078
3963481	twittermobile	Twitter Mobile	3362976
372575989	TwitterForNews	Twitter for News	1567795
427475002	TwitterBooks	Twitter Books	2292391
172020392	TwitterSF	Twitter in The City	476809
222953824	gov	Twitter Government	962367
1747381	adam_messinger	Adam Messinger	20949
266927095	ColinCrowell	Colin Crowell	53895
300392950	TwitterSports	Twitter Sports	6188488
14253109	adambain	adam bain	66585
6844292	TwitterEng	Twitter Engineering	765416
17874544	Support	Twitter Support	3939867
95731075	safety	Safety	2378850
158079127	Nonprofits	Twitter Nonprofits	1517913
130649891	twittermedia	Twitter Media	6078008
6385432	dickc	dick costolo	1496652
119134771	TwitterStories	Stories	1094848
103770785	TwitterIndia	Twitter India	1333980
109184306	JoinTheFlock	Join The Flock	434937
95255169	TwitterDE	Twitter Deutschland	1798403
90556897	TwitterFrance	Twitter France	2611165
85426644	twitter_es	Twitter en espaol	14305510
6253282	twitterapi	Twitter API	3399603
3452911	kevinweil	Kevin Weil	49739
20	ev	Ev Williams	1807745
13	biz	Biz Stone	2453756
12	jack	Jack	2984236
